# frequency amplitude_GR amplitude_mod_GR
4.630000000000000426e+01 6.001465338645141496e-24 6.278714982506609295e-24
4.640000000000000568e+01 6.018458958142171712e-24 6.293787349527039991e-24
4.650000000000000000e+01 6.038809006638239262e-24 6.340829255025359436e-24
4.660000000000000142e+01 6.009453836258556130e-24 6.357673309875475918e-24
4.670000000000000284e+01 5.892070017015040068e-24 6.295756617627058653e-24
4.680000000000000426e+01 5.664449965090897196e-24 6.123419175576972165e-24
4.690000000000000568e+01 5.319568368976756292e-24 5.825466984950219654e-24
4.700000000000000000e+01 4.864299609384144202e-24 5.401608503879578686e-24
4.710000000000000142e+01 4.318985417803154559e-24 4.865214335179515255e-24
4.720000000000000284e+01 3.719108282951311919e-24 4.243471476414855270e-24
4.730000000000000426e+01 3.121119101448357143e-24 3.580574499132679042e-24
4.740000000000000568e+01 2.614069241222331558e-24 2.947044502955532931e-24
4.750000000000000000e+01 2.324095219495575315e-24 2.456371982855623675e-24
4.760000000000000142e+01 2.355322335121888722e-24 2.258898926462424940e-24
4.770000000000000284e+01 2.679092121068365598e-24 2.430556020432673106e-24
4.780000000000000426e+01 3.166177173725566442e-24 2.873046532524763025e-24
4.790000000000000568e+01 3.700758189270062527e-24 3.431741394173319000e-24
4.800000000000000000e+01 4.210711327300933308e-24 3.999506028072282076e-24
4.810000000000000142e+01 4.654598760935371888e-24 4.515557452147173440e-24
4.820000000000000284e+01 5.009558026668396558e-24 4.946249711190126411e-24
4.830000000000000426e+01 5.265063853701781845e-24 5.274145493890786285e-24
4.840000000000000568e+01 5.420022593566441879e-24 5.493083457456621220e-24
4.850000000000000000e+01 5.481409028799515698e-24 5.606012129816107788e-24
4.860000000000000142e+01 5.463573185997637195e-24 5.624032148711911873e-24
4.870000000000000284e+01 5.387730049135867261e-24 5.565929757789315480e-24
4.880000000000000426e+01 5.281195371708298570e-24 5.457742544998921474e-24
4.890000000000000568e+01 5.175789298793964116e-24 5.331820016586391716e-24
4.900000000000000000e+01 5.104701287827623544e-24 5.224584320551131185e-24
4.910000000000000142e+01 5.097458391026979493e-24 5.172134649003140714e-24
4.920000000000000284e+01 5.173885770687062544e-24 5.203649026362046223e-24
4.930000000000000426e+01 5.339553741759621718e-24 5.334540821264327352e-24
4.940000000000000568e+01 5.585258877465925670e-24 5.562936136808437031e-24
4.950000000000000000e+01 5.890712883968804243e-24 5.871631975058967707e-24
4.960000000000000142e+01 6.230094050653327148e-24 6.233995055271144796e-24
4.970000000000000284e+01 6.576914121912418066e-24 6.620327371754908636e-24
4.980000000000000426e+01 6.907112800862561154e-24 7.002400472858584943e-24
4.990000000000000568e+01 7.200551832794047456e-24 7.355835815131089887e-24
5.000000000000000000e+01 7.441509925191813447e-24 7.661000829258062899e-24
5.010000000000000142e+01 7.618663795780262296e-24 7.903116873654731758e-24
5.020000000000000284e+01 7.724861021046121035e-24 8.072041475102773991e-24
5.030000000000000426e+01 7.756818404950449524e-24 8.161939110252284824e-24
5.040000000000000568e+01 7.714811966104298282e-24 8.170939285657536039e-24
5.050000000000000000e+01 7.602375299235070187e-24 8.100809054195539350e-24
5.060000000000000142e+01 7.426014354411159087e-24 7.956650791395619207e-24
5.070000000000000284e+01 7.194930214749326808e-24 7.746618160000224269e-24
5.080000000000000426e+01 6.920739241657551942e-24 7.481644174181372684e-24
5.090000000000000568e+01 6.617162489636911700e-24 7.175161823280586909e-24
5.100000000000000000e+01 6.299633022241092693e-24 6.842779660871971289e-24
5.110000000000000142e+01 5.984733070302766209e-24 6.501838940592987373e-24
5.120000000000000284e+01 5.689345414606624005e-24 6.170740823701530503e-24
5.130000000000000426e+01 5.429399209204961960e-24 5.867889106016180465e-24
5.140000000000000568e+01 5.218193766168762183e-24 5.610125837588211466e-24
5.150000000000000000e+01 5.064518115944333766e-24 5.410698718243817066e-24
5.160000000000000142e+01 4.971096014211754584e-24 5.277140425636564297e-24
5.170000000000000284e+01 4.934011913682158450e-24 5.209783066370656826e-24
5.180000000000000426e+01 4.943486889922067779e-24 5.201641399500940822e-24
5.190000000000000568e+01 4.985754851081267427e-24 5.239845292034082889e-24
5.200000000000000000e+01 5.045338405133567226e-24 5.308069469141581698e-24
5.210000000000000142e+01 5.107034378417043382e-24 5.389064773576203969e-24
5.220000000000000284e+01 5.157257888473284403e-24 5.466616304479938964e-24
5.230000000000000426e+01 5.184742669805314132e-24 5.526717832251309554e-24
5.240000000000000568e+01 5.180769209852019967e-24 5.558083704636985753e-24
5.250000000000000000e+01 5.139107901064103674e-24 5.552223699929026404e-24
5.260000000000000142e+01 5.055822893905779069e-24 5.503285159070989801e-24
5.270000000000000284e+01 4.929021263330266081e-24 5.407792352730306542e-24
5.280000000000000426e+01 4.758597256146059019e-24 5.264360108222097941e-24
5.290000000000000568e+01 4.545991729362720964e-24 5.073415589385220134e-24
5.300000000000000000e+01 4.293977962631085276e-24 4.836943468111347752e-24
5.310000000000000142e+01 4.006481851500653460e-24 4.558263057295259531e-24
5.320000000000000284e+01 3.688443638925890984e-24 4.241839826937883544e-24
5.330000000000000426e+01 3.345739518387388428e-24 3.893141444210731009e-24
5.340000000000000568e+01 2.985195299049532817e-24 3.518553939955359282e-24
5.350000000000000000e+01 2.614760474764035395e-24 3.125394189685783342e-24
5.360000000000000142e+01 2.243982967706246858e-24 2.722093711770282271e-24
5.370000000000000284e+01 1.885067292431927766e-24 2.318713305450082392e-24
5.380000000000000426e+01 1.555031209233020130e-24 1.928139175178523931e-24
5.390000000000000568e+01 1.279382980530177925e-24 1.568663404446577970e-24
5.400000000000000000e+01 1.094714081067658848e-24 1.268819852280112702e-24
5.410000000000000142e+01 1.036889211354705214e-24 1.071814690667726044e-24
5.420000000000000284e+01 1.107088715804463459e-24 1.020956423995508034e-24
5.430000000000000426e+01 1.264223571168537314e-24 1.113805677238801249e-24
5.440000000000000568e+01 1.461095366152786708e-24 1.297059664642312057e-24
5.450000000000000000e+01 1.665637351243812681e-24 1.516574378266053970e-24
5.460000000000000142e+01 1.859278647045047082e-24 1.738779288048690787e-24
5.470000000000000284e+01 2.031443389884707605e-24 1.945276021040740957e-24
5.480000000000000426e+01 2.176051939924653104e-24 2.125885423144803718e-24
5.490000000000000568e+01 2.289725378315089734e-24 2.274859539283614321e-24
5.500000000000000000e+01 2.370891425567231769e-24 2.389073741555448320e-24
5.510000000000000142e+01 2.419336267788542780e-24 2.467162958958096907e-24
5.520000000000000284e+01 2.435985026756763212e-24 2.509100848735273634e-24
5.530000000000000426e+01 2.422812472370744461e-24 2.516001607944886410e-24
5.540000000000000568e+01 2.382841004688412774e-24 2.490049982615688408e-24
5.550000000000000000e+01 2.320210379604344949e-24 2.434524680246415801e-24
5.560000000000000142e+01 2.240310909822229483e-24 2.353906350774559685e-24
5.570000000000000284e+01 2.149965404889077219e-24 2.254076158296590048e-24
5.580000000000000426e+01 2.057607583809263300e-24 2.142604206694902974e-24
5.590000000000000568e+01 1.973323552379974238e-24 2.029085880070287766e-24
5.600000000000000000e+01 1.908496122278822813e-24 1.925365794207426573e-24
5.610000000000000142e+01 1.874711071883541905e-24 1.845263327786033148e-24
5.620000000000000284e+01 1.881794922365075408e-24 1.803189533866694039e-24
5.630000000000000426e+01 1.935539469502437073e-24 1.811297651169278705e-24
5.640000000000000568e+01 2.036347622819248292e-24 1.876059747116860720e-24
5.650000000000000000e+01 2.179679705383212530e-24 1.996479592358518372e-24
5.660000000000000142e+01 2.357880625241709675e-24 2.165308853276728544e-24
5.670000000000000284e+01 2.562190187608804141e-24 2.372090105701718489e-24
5.680000000000000426e+01 2.784123225788448098e-24 2.605906065726660728e-24
5.690000000000000568e+01 3.016123325507578297e-24 2.856882960361050846e-24
5.700000000000000000e+01 3.251731681351037440e-24 3.116660080845204535e-24
5.710000000000000142e+01 3.485529294178963589e-24 3.378341629758598042e-24
5.720000000000000284e+01 3.713005375475015901e-24 3.636278762225497674e-24
5.730000000000000426e+01 3.930419685434260305e-24 3.885837789102850593e-24
5.740000000000000568e+01 4.134689540635486875e-24 4.123213487977531888e-24
5.750000000000000000e+01 4.323299819983188335e-24 4.345287063116597140e-24
5.760000000000000142e+01 4.494234201739995130e-24 4.549522400897134883e-24
5.770000000000000284e+01 4.645925411980378935e-24 4.733894314299828114e-24
5.780000000000000426e+01 4.777216184911017008e-24 4.896834958101492799e-24
5.790000000000000568e+01 4.887329743150736192e-24 5.037195614986943843e-24
5.800000000000000000e+01 4.975845689187311771e-24 5.154216326652519472e-24
5.810000000000000142e+01 5.042681064162877600e-24 5.247503682483152893e-24
5.820000000000000284e+01 5.088074239293879478e-24 5.317012599916367944e-24
5.830000000000000426e+01 5.112570575163668958e-24 5.363030709778598955e-24
5.840000000000000568e+01 5.117009840613174236e-24 5.386164903841122256e-24
5.850000000000000000e+01 5.102515117819243879e-24 5.387330383886986327e-24
