#q i_30 i_45 i_60 i_80 i_90
2.000000000000000000e+00 8.680000000000000215e-03 7.376999999999999877e-03 7.662000000000000408e-03 1.059485000000000010e+00 7.995796000000000348e+00
3.000000000000000000e+00 5.494999999999999885e-03 4.740000000000000289e-03 4.348999999999999568e-03 5.144000000000000135e-03 4.479968000000000394e+00
4.000000000000000000e+00 4.419000000000000185e-03 3.544999999999999974e-03 3.213000000000000144e-03 3.763999999999999985e-03 6.126999999999999634e-03
5.000000000000000000e+00 3.768000000000000082e-03 3.118000000000000112e-03 2.674000000000000161e-03 3.132999999999999934e-03 4.831000000000000225e-03
6.000000000000000000e+00 3.033000000000000106e-03 2.511999999999999910e-03 2.279999999999999909e-03 2.651999999999999844e-03 3.690999999999999837e-03
7.000000000000000000e+00 3.127000000000000005e-03 2.328000000000000208e-03 2.069999999999999792e-03 2.305000000000000191e-03 3.223999999999999869e-03
8.000000000000000000e+00 2.419000000000000143e-03 2.161000000000000160e-03 1.778999999999999982e-03 1.974000000000000060e-03 2.784000000000000016e-03
9.000000000000000000e+00 2.197999999999999867e-03 1.876999999999999979e-03 1.636000000000000084e-03 1.840999999999999972e-03 2.494000000000000123e-03
