#q i_30 i_45 i_60 i_80 i_90
2.000000000000000000e+00 9.044825124838853370e+00 4.227059713622279169e+00 7.006402764555580420e-03 6.440882070521380606e-03 8.968305770607986477e-03
3.000000000000000000e+00 6.588730619240881659e+00 5.036286874126914143e-03 4.182100140684969977e-03 4.445731382541415720e-03 5.958785175525177155e-03
4.000000000000000000e+00 7.991123615423201265e-03 3.215448608588153488e-03 3.017038612787493156e-03 3.273754456511415722e-03 4.446418206383705857e-03
5.000000000000000000e+00 4.089541767626523466e-03 2.756385781192476677e-03 2.467964481694611724e-03 2.835697975532057782e-03 3.799088783319291753e-03
6.000000000000000000e+00 3.677636317628709545e-03 2.510939607417633779e-03 2.065301630019701195e-03 2.478627194760520819e-03 2.957924906966587567e-03
7.000000000000000000e+00 2.783918590817445124e-03 2.201589802334248842e-03 1.839554694354516781e-03 2.226024402775679620e-03 2.639905326741350238e-03
8.000000000000000000e+00 2.514139407321123315e-03 1.843735090546158020e-03 1.640351724643003550e-03 1.883443229919177283e-03 2.369000935132171796e-03
9.000000000000000000e+00 2.600556637371602073e-03 1.673676915313323209e-03 1.520736996881177829e-03 1.684277130006647675e-03 2.170082312244843090e-03
